#Selection name: Tumor_Enriched_Region
#Area (µm^2): 4970421.02
Cell ID,Cluster,Transcripts,Area (µm^2)
aihkniha-1,Cluster 4,0,46.63
aihnaimg-1,Cluster 4,0,32.43
inmkllgj-1,Cluster 4,0,146.24
inmfogkf-1,Cluster 4,0,143.20
inmdnokl-1,Cluster 4,0,81.32
inmdphmn-1,Cluster 4,0,66.55
fnacaapl-1,Cluster 4,0,94.46
fnadepie-1,Cluster 4,0,93.85
inlcbjhd-1,Cluster 4,0,64.40
inlbncgc-1,Cluster 4,0,156.82
inpagelc-1,Cluster 6,0,63.83
inolmfbg-1,Cluster 4,0,38.37
innmchnd-1,Cluster 3,0,76.12
inoopljh-1,Cluster 3,0,38.12
inojieem-1,Cluster 4,0,97.56
inokgdjb-1,Cluster 4,0,74.75
inokpiac-1,Cluster 4,0,81.56
innafjdm-1,Cluster 4,0,131.38
innaonph-1,Cluster 4,0,95.46
inmogcno-1,Cluster 4,0,58.22
innagmbe-1,Cluster 4,0,30.55
inmpgmml-1,Cluster 4,0,93.48
inmnkjml-1,Cluster 4,0,62.55
innocljd-1,Cluster 1,0,6.70
ihdijifj-1,Cluster 7,0,38.61
ihdjdfhj-1,Cluster 3,0,96.75
ihdiljbn-1,Cluster 6,0,82.02
innldmha-1,Cluster 4,0,49.88
inobllgl-1,Cluster 1,0,12.94
aihgmhmf-1,Cluster 4,0,83.24
innpljml-1,Cluster 4,0,43.37
inocnpif-1,Cluster 4,0,48.39
aigofimp-1,Cluster 4,0,32.00
aignehfi-1,Cluster 4,0,49.29
aihfgjho-1,Cluster 4,0,30.72
aigokffa-1,Cluster 4,0,39.00
innlbonf-1,Cluster 7,0,58.39
aignfged-1,Cluster 4,0,60.67
akdlfpge-1,Cluster 4,0,49.18
ijbcjijf-1,Cluster 6,0,75.40
akdklbpk-1,Cluster 4,0,100.78
ijbdkhlf-1,Cluster 6,0,55.92
akdjebcl-1,Cluster 4,0,66.03
