#Selection name: Tumor_Free_Left
#Area (µm^2): 2387159.80
Cell ID,Cluster,Transcripts,Area (µm^2)
icdjmobh-1,Cluster 5,0,38.91
iehpjdoe-1,Cluster 1,0,36.12
iehnpnfo-1,Cluster 3,0,39.88
icabfjop-1,Cluster 3,0,40.11
ibpohmle-1,Cluster 3,0,20.76
ibpongap-1,Cluster 7,0,33.79
heiiccbp-1,Cluster 7,0,14.27
icampfbb-1,Cluster 1,0,32.12
icamocdn-1,Cluster 6,0,54.66
heijaaci-1,Cluster 1,0,20.27
icalplld-1,Cluster 3,0,68.12
ibpepiab-1,Cluster 1,0,20.26
icamflnc-1,Cluster 1,0,10.90
heijaeom-1,Cluster 1,0,22.58
ieiemgcp-1,Cluster 1,0,107.49
ieigfiik-1,Cluster 1,0,201.26
ieikkhnm-1,Cluster 3,0,68.89
ieikniph-1,Cluster 1,0,19.28
iehmgkfl-1,Cluster 3,0,54.66
ibpcghgg-1,Cluster 7,0,42.82
iehohbjn-1,Cluster 7,0,13.28
ibpcmfmp-1,Cluster 1,0,40.27
iehmiadk-1,Cluster 3,0,26.57
icanjcpm-1,Cluster 7,0,28.07
iehpdkhe-1,Cluster 3,0,43.90
iehkinoc-1,Cluster 7,0,15.73
ibpaioon-1,Cluster 3,0,33.92
iehnohom-1,Cluster 6,0,51.05
oginnpmp-1,Cluster 1,0,6.86
iehjoeom-1,Cluster 7,0,24.46
icacgokp-1,Cluster 1,0,24.81
ogifelmo-1,Cluster 1,0,58.19
ogifccpc-1,Unassigned,0,63.10
icbbjbgg-1,Cluster 1,0,38.14
icapgdee-1,Cluster 1,0,18.44
iapkkhob-1,Cluster 1,0,17.12
afdpfjmo-1,Cluster 1,0,38.68
heijailo-1,Cluster 5,0,19.44
afeaplpl-1,Cluster 1,0,61.68
