cell_id,Tile,Clone
gancolmg-1,0_plate4_7B_,255_255_255
ganfeaja-1,0_plate4_7B_,255_255_255
ganjkogp-1,0_plate4_7B_,255_255_255
ganogpmp-1,0_plate4_7B_,255_255_255
ganomgfl-1,0_plate4_7B_,255_255_255
gaoaeohh-1,0_plate4_7B_,255_255_255
gaoajklk-1,0_plate4_7B_,255_255_255
gaoajoad-1,0_plate4_7B_,255_255_255
gaoalkad-1,0_plate4_7B_,255_255_255
gaoapnnn-1,0_plate4_7B_,255_255_255
gaobfhen-1,0_plate4_7B_,255_255_255
gaobklkp-1,0_plate4_7B_,255_255_255
gaobkome-1,0_plate4_7B_,255_255_255
gaobmlpb-1,0_plate4_7B_,255_255_255
gaobmmph-1,0_plate4_7B_,255_255_255
gaobojkp-1,0_plate4_7B_,255_255_255
gaocejkc-1,0_plate4_7B_,255_255_255
gaocknkk-1,0_plate4_7B_,255_255_255
gaocmnno-1,0_plate4_7B_,255_255_255
gaocnpde-1,0_plate4_7B_,255_255_255
gaodcgac-1,0_plate4_7B_,255_255_255
gaodgeee-1,0_plate4_7B_,255_255_255
gaodilkb-1,0_plate4_7B_,255_255_255
gaodmimm-1,0_plate4_7B_,255_255_255
gaoeanol-1,0_plate4_7B_,255_255_255
gaoegicd-1,0_plate4_7B_,255_255_255
gaofdcfo-1,0_plate4_7B_,255_255_255
gaofdfno-1,0_plate4_7B_,255_255_255
gaoffiid-1,0_plate4_7B_,255_255_255
gaofhjib-1,0_plate4_7B_,255_255_255
gaofmlfp-1,0_plate4_7B_,255_255_255
gaogfcej-1,0_plate4_7B_,255_255_255
gaohaiig-1,0_plate4_7B_,255_255_255
gaohamkh-1,0_plate4_7B_,255_255_255
gaoidonc-1,0_plate4_7B_,255_255_255
gaoiigod-1,0_plate4_7B_,255_255_255
gaoikmnk-1,0_plate4_7B_,255_255_255
gaoilbcf-1,0_plate4_7B_,255_255_255
gaoimjmd-1,0_plate4_7B_,255_255_255
gaoinakg-1,0_plate4_7B_,255_255_255
gaojcgbd-1,0_plate4_7B_,255_255_255
gaojhane-1,0_plate4_7B_,255_255_255
gaojkgfj-1,0_plate4_7B_,255_255_255
gaojmnfb-1,0_plate4_7B_,255_255_255
gaojokoo-1,0_plate4_7B_,255_255_255
gaojpong-1,0_plate4_7B_,255_255_255
gaokoiga-1,0_plate4_7B_,255_255_255
gaolkmjb-1,0_plate4_7B_,255_255_255
gaolpcka-1,0_plate4_7B_,255_255_255
gaomfdjg-1,0_plate4_7B_,255_255_255
gaoolhmc-1,0_plate4_7B_,255_255_255
gaoopngj-1,0_plate4_7B_,255_255_255
gaopgnaa-1,0_plate4_7B_,255_255_255
gaopigca-1,0_plate4_7B_,255_255_255
gapandab-1,0_plate4_7B_,255_255_255
gapbeipf-1,0_plate4_7B_,255_255_255
gapbjmhd-1,0_plate4_7B_,255_255_255
gapbmnkh-1,0_plate4_7B_,255_255_255
gapbolaj-1,0_plate4_7B_,255_255_255
gapdagng-1,0_plate4_7B_,255_255_255
gapgbpdd-1,0_plate4_7B_,255_255_255
gapgdldi-1,0_plate4_7B_,255_255_255
gapggfgj-1,0_plate4_7B_,255_255_255
gapgkeem-1,0_plate4_7B_,255_255_255
gapgkefm-1,0_plate4_7B_,255_255_255
gapgkpah-1,0_plate4_7B_,255_255_255
gapgmbkf-1,0_plate4_7B_,255_255_255
gapgommp-1,0_plate4_7B_,255_255_255
gaphbana-1,0_plate4_7B_,255_255_255
gaphbcol-1,0_plate4_7B_,255_255_255
gaphclih-1,0_plate4_7B_,255_255_255
gapheilp-1,0_plate4_7B_,255_255_255
gaphhffp-1,0_plate4_7B_,255_255_255
gaphkbok-1,0_plate4_7B_,255_255_255
gaphlkhk-1,0_plate4_7B_,255_255_255
gaphnoof-1,0_plate4_7B_,255_255_255
gbacnhll-1,0_plate4_7B_,255_255_255
gbadjkle-1,0_plate4_7B_,255_255_255
gbaehkda-1,0_plate4_7B_,255_255_255
gbaeiomo-1,0_plate4_7B_,255_255_255
gbaemejd-1,0_plate4_7B_,255_255_255
gbaemhob-1,0_plate4_7B_,255_255_255
gbagaefd-1,0_plate4_7B_,255_255_255
gbahdngp-1,0_plate4_7B_,255_255_255
gbahgipp-1,0_plate4_7B_,255_255_255
gbahhoga-1,0_plate4_7B_,255_255_255
gbahicln-1,0_plate4_7B_,255_255_255
gbahkidj-1,0_plate4_7B_,255_255_255
gbahlimo-1,0_plate4_7B_,255_255_255
gbaiabbl-1,0_plate4_7B_,255_255_255
gbaiepph-1,0_plate4_7B_,255_255_255
gbaifbkh-1,0_plate4_7B_,255_255_255
gbaimkgp-1,0_plate4_7B_,255_255_255
gbaiplbc-1,0_plate4_7B_,255_255_255
gbajbbmm-1,0_plate4_7B_,255_255_255
gbajddch-1,0_plate4_7B_,255_255_255
gbajkjic-1,0_plate4_7B_,255_255_255
gbakakod-1,0_plate4_7B_,255_255_255
gbcfjjob-1,0_plate4_7B_,255_255_255
gbcfpnkn-1,0_plate4_7B_,255_255_255
gbejjpjg-1,0_plate4_7B_,255_255_255
gbejncgn-1,0_plate4_7B_,255_255_255
gbeocdig-1,0_plate4_7B_,255_255_255
gbeocpha-1,0_plate4_7B_,255_255_255
gbgcfacb-1,0_plate4_7B_,255_255_255
gbgchnll-1,0_plate4_7B_,255_255_255
gbgckfgp-1,0_plate4_7B_,255_255_255
gbgdeiep-1,0_plate4_7B_,255_255_255
gbgglgnl-1,0_plate4_7B_,255_255_255
gbghcahn-1,0_plate4_7B_,255_255_255
gbghhhkg-1,0_plate4_7B_,255_255_255
gbghnceh-1,0_plate4_7B_,255_255_255
gbghonab-1,0_plate4_7B_,255_255_255
gbgimgfm-1,0_plate4_7B_,255_255_255
gbhkabgf-1,0_plate4_7B_,255_255_255
gbngpjmj-1,0_plate4_7B_,255_255_255
gcpnknkj-1,0_plate4_7B_,255_255_255
gcpnpjkc-1,0_plate4_7B_,255_255_255
ofilkiak-1,0_plate4_7B_,255_255_255
ofillano-1,0_plate4_7B_,255_255_255
ofimgilf-1,0_plate4_7B_,255_255_255
ofimjhji-1,0_plate4_7B_,255_255_255
baidbhlp-1,1_plate4_4A_,255_255_0
bbhpdhjd-1,1_plate4_4A_,255_255_0
bbhpedbj-1,1_plate4_4A_,255_255_0
bbhphjhp-1,1_plate4_4A_,255_255_0
bbiahjmp-1,1_plate4_4A_,255_255_0
bbiamegp-1,1_plate4_4A_,255_255_0
bbiildln-1,1_plate4_4A_,255_255_0
bbiiojjk-1,1_plate4_4A_,255_255_0
bbikdpgf-1,1_plate4_4A_,255_255_0
bbikhhbc-1,1_plate4_4A_,255_255_0
bbikjhpn-1,1_plate4_4A_,255_255_0
bbiljaea-1,1_plate4_4A_,255_255_0
bbillnam-1,1_plate4_4A_,255_255_0
bbimdlpm-1,1_plate4_4A_,255_255_0
bbimefmg-1,1_plate4_4A_,255_255_0
bbjfhkne-1,1_plate4_4A_,255_255_0
bbjgbgof-1,1_plate4_4A_,255_255_0
